gen_id,gen_adi,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
ENSMUSG00000017607.10,Tns4,3,9,15,5,6,8
ENSMUSG00000017615.13,Tnfaip1,219,237,662,329,410,562
ENSMUSG00000017631.20,Abr,91,63,367,230,292,180
ENSMUSG00000017639.14,Rab11fip4,27,31,94,49,79,74
ENSMUSG00000017652.17,Cd40,21,31,113,28,49,40
ENSMUSG00000017664.17,Slc35c2,464,480,1238,554,825,589
ENSMUSG00000017667.10,Zfp334,36,51,120,66,97,110
ENSMUSG00000017670.17,Elmo2,251,172,653,351,535,326
ENSMUSG00000017677.12,Wsb1,628,394,1373,774,990,672
ENSMUSG00000017679.17,Ttpal,301,270,646,380,630,387
ENSMUSG00000017686.18,Rhot1,606,393,1113,617,910,674
ENSMUSG00000017688.16,Hnf4g,5,2,9,3,5,3
ENSMUSG00000017692.9,Rhbdl3,0,0,2,4,2,5
ENSMUSG00000017697.4,Ada,82,92,266,66,106,76
ENSMUSG00000017707.10,Serinc3,18618,12453,30276,11588,16010,10634
ENSMUSG00000017713.10,Tha1,13,13,52,23,29,26
ENSMUSG00000017715.12,Pgs1,507,516,1372,658,994,582
ENSMUSG00000017716.16,Birc5,5930,6958,13054,3375,4858,4527
ENSMUSG00000017718.16,Afmid,95,31,327,100,141,93
ENSMUSG00000017720.3,Trp53tg5,0,0,2,2,0,1
ENSMUSG00000017721.16,Pigt,814,816,3264,1082,1812,1151
ENSMUSG00000017723.12,Wfdc2,3,1,1,0,4,1
ENSMUSG00000017724.15,Etv4,1,4,27,25,17,18
ENSMUSG00000017733.5,Eppin,0,0,0,0,0,0
ENSMUSG00000017734.16,Dbndd2,47,114,32,57,26,89
ENSMUSG00000017737.3,Mmp9,43,59,176,243,194,87
ENSMUSG00000017740.18,Slc12a5,8,12,37,14,27,21
ENSMUSG00000017747.14,Ghdc,64,57,216,112,141,119
ENSMUSG00000017754.14,Pltp,71,83,245,65,94,72
ENSMUSG00000017756.10,Slc12a7,164,136,896,295,427,263
ENSMUSG00000017760.17,Ctsa,1244,1118,4082,1463,2118,1645
ENSMUSG00000017764.3,Zswim1,130,110,304,180,261,164
ENSMUSG00000017765.18,Slc12a4,402,308,1850,292,454,220
ENSMUSG00000017767.4,Spata25,0,0,0,0,0,1
ENSMUSG00000017774.20,Myo1c,710,560,2488,1180,1890,1448
ENSMUSG00000017776.16,Crk,831,436,2329,753,1062,992
ENSMUSG00000017778.15,Cox7c,3526,3674,7823,1966,2543,3210
ENSMUSG00000017781.19,Pitpna,1460,1486,4469,1829,2614,2244
ENSMUSG00000017801.16,Mlx,396,289,620,376,539,307
ENSMUSG00000017802.15,Retreg3,1252,863,3522,1240,1776,1229
ENSMUSG00000017817.12,Jph2,0,4,9,4,9,8
ENSMUSG00000017830.16,Dhx58,28,27,69,53,62,55
ENSMUSG00000017831.9,Rab5a,433,279,965,322,434,369
ENSMUSG00000017832.3,Hspb9,2,1,9,1,5,1
ENSMUSG00000017837.13,Nkiras2,273,191,872,279,395,267
ENSMUSG00000017843.15,Ppp2r5c,1805,1475,3202,1551,2350,1830
ENSMUSG00000017858.13,Ift52,374,320,749,464,707,563
ENSMUSG00000017861.12,Mybl2,2162,1527,7669,1071,2177,920
ENSMUSG00000017868.17,Sgk2,33,29,41,31,18,49
ENSMUSG00000017897.19,Eya2,2,6,11,7,13,2
ENSMUSG00000017922.15,Prl3c1,0,0,0,0,0,0
ENSMUSG00000017929.14,B4galt5,84,82,374,247,282,176
ENSMUSG00000017943.16,Gdap1l1,0,1,1,0,3,2
ENSMUSG00000017950.17,Hnf4a,397,297,1513,362,642,594
ENSMUSG00000017969.14,Ptgis,4,12,22,10,28,12
ENSMUSG00000017978.20,Cadps2,0,2,3,2,2,2
ENSMUSG00000017999.17,Ddx27,1527,1062,5442,1482,3098,1615
ENSMUSG00000018001.19,Cyth3,1467,871,3765,1212,2206,1109
ENSMUSG00000018008.9,Cyth4,203,212,869,360,478,347
ENSMUSG00000018012.12,Rac3,12,20,27,16,26,13
ENSMUSG00000018040.10,Rrp7a,840,808,2871,876,1519,1180
ENSMUSG00000018042.19,Cyb5r3,4700,3617,12168,2620,5496,3105
ENSMUSG00000018068.14,Ints2,376,196,892,374,643,418
ENSMUSG00000018076.13,Med13l,857,409,3670,439,859,398
ENSMUSG00000018102.6,H2bc4,553,922,701,806,535,634
ENSMUSG00000018126.16,Baiap2l2,34,26,178,61,83,41
ENSMUSG00000018143.11,Mafk,1472,977,4871,768,1481,613
ENSMUSG00000018160.16,Med1,646,519,2082,823,1407,815
ENSMUSG00000018166.9,Erbb3,38,26,229,49,114,49
ENSMUSG00000018167.11,Stard3,296,194,1031,440,555,343
ENSMUSG00000018168.9,Ikzf3,2,1,12,6,3,3
ENSMUSG00000018169.13,Mfng,98,86,265,154,158,160
ENSMUSG00000018171.10,Vmp1,1601,858,3097,1141,1660,1030
ENSMUSG00000018189.13,Uchl5,1648,2378,2484,1157,1495,1806
ENSMUSG00000018196.19,Glrx2,376,467,815,457,600,559
ENSMUSG00000018199.10,Ro60,67,66,92,195,204,261
ENSMUSG00000018209.16,Stk4,855,602,1889,885,1458,1158
ENSMUSG00000018211.14,Wfdc15b,0,0,0,0,0,0
ENSMUSG00000018217.13,Pmp22,58,93,267,147,225,168
ENSMUSG00000018238.7,Gdf9,6,5,8,7,16,6
ENSMUSG00000018239.10,Zcchc10,222,165,368,184,237,218
ENSMUSG00000018259.14,Prl8a2,0,0,0,0,0,0
ENSMUSG00000018263.12,Tbx5,0,0,1,2,2,0
ENSMUSG00000018286.7,Psmb6,2970,2882,6524,2360,3793,3047
ENSMUSG00000018287.13,Spag7,881,968,2029,820,1289,1336
ENSMUSG00000018293.5,Pfn1,8789,10217,30627,8731,12758,11560
ENSMUSG00000018322.11,Tomm34,266,306,554,367,501,426
ENSMUSG00000018326.10,Ywhab,2393,2342,5402,2254,3491,2843
